City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,61.0,overcast clouds,-33.65,115.3333,Observatory Guest House
1,Atuona,PF,80.6,few clouds,-9.8,-139.0333,Villa Enata
2,Barbacoas,CO,77.72,light rain,1.6715,-78.1398,edificio justin
3,Rikitea,PF,78.3,light rain,-23.1203,-134.9692,Pension Maro'i
4,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
8,Bambous Virieux,MU,78.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
11,Saldanha,ZA,60.8,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
12,Mandali,IQ,64.33,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
13,Hobart,AU,50.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
15,Kailua,US,75.2,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
16,Kaitangata,NZ,61.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
17,Guerrero Negro,MX,64.62,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
18,Arauca,CO,82.4,broken clouds,7.0847,-70.7591,Hotel Verano Plaza
22,Hasaki,JP,54.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
23,Hervey Bay,AU,66.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
24,Cape Town,ZA,64.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
25,Mount Isa,AU,68.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
27,Terrell,US,82.99,clear sky,32.736,-96.2753,Holiday Inn Express & Suites Terrell
28,Griffith,US,52.0,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
29,Port Alfred,ZA,65.66,broken clouds,-33.5906,26.891,The Halyards Hotel
30,New Norfolk,AU,50.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
31,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
32,Sinnamary,GF,78.06,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
34,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
35,Mataura,NZ,57.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
39,Punta Arenas,CL,55.4,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
42,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
44,Karratha,AU,82.83,broken clouds,-20.7377,116.8463,ibis Styles Karratha
49,Ushuaia,AR,50.0,broken clouds,-54.8,-68.3,Albatros Hotel
50,Bredasdorp,ZA,57.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
51,Chalakudi,IN,77.0,mist,10.304,76.3361,Hotel Sidhartha Luxury Business Class Hotel 4 STAR
54,Hamilton,US,53.6,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
57,Richards Bay,ZA,71.35,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
59,Airai,TL,63.36,scattered clouds,-8.9266,125.4092,Juvinal Martin
60,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Codrington,AU,58.06,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
63,Jamestown,US,64.4,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Port Blair,IN,81.63,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
65,Mount Gambier,AU,51.8,overcast clouds,-37.8333,140.7667,Commodore on the Park
66,Kattivakkam,IN,82.4,mist,13.2167,80.3167,Raj's villa
68,Shimoda,JP,55.99,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
70,Hilo,US,80.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
71,Kawalu,ID,71.98,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
75,Hermanus,ZA,64.99,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
76,Rawson,AR,69.69,clear sky,-43.3002,-65.1023,Hosteria Sampedro
77,Makakilo City,US,69.8,heavy intensity rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
79,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
80,Tateyama,JP,57.0,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
82,Benghazi,LY,62.82,few clouds,32.1167,20.0667,Tibesti Hotel
83,Jorochito,BO,69.8,broken clouds,-18.05,-63.4333,Tom´s Hauss
84,Jaten,ID,74.8,broken clouds,-7.5772,110.8975,Loh Agung 6 B10
85,Ponta Do Sol,PT,63.0,overcast clouds,32.6667,-17.1,Hotel do Campo
