City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Busselton,-33.65,115.3333,61.0,99,99,1.01,AU,2021-04-11 22:31:19,overcast clouds
1,Atuona,-9.8,-139.0333,80.6,77,18,17.02,PF,2021-04-11 22:31:19,few clouds
2,Barbacoas,1.6715,-78.1398,77.72,93,99,2.33,CO,2021-04-11 22:31:19,light rain
3,Rikitea,-23.1203,-134.9692,78.3,74,7,8.19,PF,2021-04-11 22:28:26,light rain
4,Vaini,-21.2,-175.2,80.6,69,20,5.75,TO,2021-04-11 22:31:20,few clouds
5,Qaanaaq,77.484,-69.3632,23.05,94,100,9.69,GL,2021-04-11 22:31:20,snow
6,Tuktoyaktuk,69.4541,-133.0374,-5.8,71,1,9.22,CA,2021-04-11 22:31:21,clear sky
7,Kotka,60.4664,26.9458,39.0,65,0,6.91,FI,2021-04-11 22:29:24,clear sky
8,Bambous Virieux,-20.3428,57.7575,78.01,94,75,6.91,MU,2021-04-11 22:31:21,broken clouds
9,Haines Junction,60.7522,-137.5108,23.0,30,91,4.61,CA,2021-04-11 22:31:21,overcast clouds
10,Saskylakh,71.9167,114.0833,16.63,91,85,8.03,RU,2021-04-11 22:31:22,overcast clouds
11,Saldanha,-33.0117,17.9442,60.8,82,100,5.75,ZA,2021-04-11 22:31:22,overcast clouds
12,Mandali,33.7499,45.5541,64.33,25,0,11.01,IQ,2021-04-11 22:31:23,clear sky
13,Hobart,-42.8794,147.3294,50.0,76,75,10.36,AU,2021-04-11 22:31:23,broken clouds
14,Baherden,38.4362,57.4316,65.8,24,73,7.11,TM,2021-04-11 22:31:23,broken clouds
15,Kailua,21.4022,-157.7394,75.2,60,40,13.8,US,2021-04-11 22:31:24,scattered clouds
16,Kaitangata,-46.2817,169.8464,61.0,81,51,8.01,NZ,2021-04-11 22:31:24,broken clouds
17,Guerrero Negro,27.9769,-114.0611,64.62,65,99,16.75,MX,2021-04-11 22:31:24,overcast clouds
18,Arauca,7.0847,-70.7591,82.4,74,80,5.75,CO,2021-04-11 22:30:09,broken clouds
19,Dustlik,40.5247,68.0358,47.39,48,0,4.18,UZ,2021-04-11 22:31:25,clear sky
20,Chokurdakh,70.6333,147.9167,-6.03,91,54,11.34,RU,2021-04-11 22:31:25,broken clouds
21,Thompson,55.7435,-97.8558,26.6,68,90,12.66,CA,2021-04-11 22:30:12,overcast clouds
22,Hasaki,35.7333,140.8333,54.0,76,20,4.61,JP,2021-04-11 22:31:25,few clouds
23,Hervey Bay,-25.2986,152.8535,66.0,46,0,4.0,AU,2021-04-11 22:31:26,clear sky
24,Cape Town,-33.9258,18.4232,64.99,94,0,12.66,ZA,2021-04-11 22:26:36,clear sky
25,Mount Isa,-20.7333,139.5,68.0,30,0,11.5,AU,2021-04-11 22:31:09,clear sky
26,Chapaevsk,52.9813,49.7112,46.4,93,0,2.24,RU,2021-04-11 22:31:27,clear sky
27,Terrell,32.736,-96.2753,82.99,21,1,12.66,US,2021-04-11 22:31:27,clear sky
