City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kavaratti,10.5669,72.642,83.25,66,3,3.69,IN,2021-04-11 19:48:53
1,Kapaa,22.0752,-159.319,71.6,73,75,16.11,US,2021-04-11 19:48:54
2,Thompson,55.7435,-97.8558,21.2,79,90,11.5,CA,2021-04-11 19:48:54
3,New Norfolk,-42.7826,147.0587,48.0,75,100,1.01,AU,2021-04-11 19:48:55
4,Cape Town,-33.9258,18.4232,66.0,88,20,12.66,ZA,2021-04-11 19:48:55
5,Mataura,-46.1927,168.8643,46.99,98,78,1.01,NZ,2021-04-11 19:48:55
6,Taybad,34.74,60.7756,66.47,23,36,7.61,IR,2021-04-11 19:48:56
7,Sao Teotonio,37.5128,-8.7071,57.99,83,65,7.0,PT,2021-04-11 19:48:56
8,Hilo,19.7297,-155.09,75.2,53,1,3.44,US,2021-04-11 19:48:56
9,Portland,45.5234,-122.6762,54.0,46,20,3.44,US,2021-04-11 19:46:12
10,Barrow,71.2906,-156.7887,-16.6,76,1,5.75,US,2021-04-11 19:45:01
11,East London,-33.0153,27.9116,71.35,84,100,2.71,ZA,2021-04-11 19:48:57
12,Gigmoto,13.7796,124.39,77.5,85,92,6.24,PH,2021-04-11 19:48:57
13,Sao Felix Do Xingu,-6.6447,-51.995,83.88,69,99,4.14,BR,2021-04-11 19:48:58
14,Sadiqabad,28.3062,70.1307,85.01,9,0,6.76,PK,2021-04-11 19:48:58
15,Yellowknife,62.456,-114.3525,8.01,66,90,5.75,CA,2021-04-11 19:48:58
16,Bethel,41.3712,-73.414,59.0,88,90,6.91,US,2021-04-11 19:48:59
17,Punta Arenas,-53.15,-70.9167,57.2,47,0,11.5,CL,2021-04-11 19:48:59
18,Busselton,-33.65,115.3333,61.0,98,100,11.52,AU,2021-04-11 19:49:00
19,Atuona,-9.8,-139.0333,81.0,75,21,18.5,PF,2021-04-11 19:49:00
20,Bredasdorp,-34.5322,20.0403,59.0,94,100,2.3,ZA,2021-04-11 19:49:00
21,Labuhan,-6.8844,112.2051,78.03,85,30,3.87,ID,2021-04-11 19:49:01
22,Kuusamo,65.9667,29.1833,33.8,69,0,10.36,FI,2021-04-11 19:49:01
23,Butaritari,3.0707,172.7902,80.78,78,34,9.46,KI,2021-04-11 19:49:01
24,Albany,42.6001,-73.9662,71.6,56,90,11.5,US,2021-04-11 19:46:13
25,Waddan,29.1614,16.139,72.84,13,90,22.06,LY,2021-04-11 19:49:02
26,Vaini,-21.2,-175.2,69.8,94,20,4.61,TO,2021-04-11 19:49:02
27,Hermanus,-34.4187,19.2345,63.0,89,100,8.68,ZA,2021-04-11 19:49:03
28,Qaqortoq,60.7167,-46.0333,53.6,24,1,8.05,GL,2021-04-11 19:49:03
29,Avarua,-21.2078,-159.775,78.8,94,40,6.91,CK,2021-04-11 19:49:03
30,Gorgan,36.8387,54.4348,55.4,100,90,1.1,IR,2021-04-11 19:49:04
31,Olafsvik,64.8945,-23.7142,36.3,82,99,18.54,IS,2021-04-11 19:49:04
32,Bam,29.106,58.357,77.14,16,11,10.96,IR,2021-04-11 19:49:04
33,Kinablangan,7.6947,126.5503,76.95,88,95,7.78,PH,2021-04-11 19:49:05
34,Autazes,-3.5797,-59.1306,79.23,93,100,1.52,BR,2021-04-11 19:49:05
35,San Cristobal,7.7669,-72.225,91.4,49,40,11.5,VE,2021-04-11 19:49:06
36,Les Cayes,18.2,-73.75,78.6,76,94,11.86,HT,2021-04-11 19:49:06
37,Rikitea,-23.1203,-134.9692,78.21,75,7,10.07,PF,2021-04-11 19:49:06
38,Mahebourg,-20.4081,57.7,78.8,89,75,10.36,MU,2021-04-11 19:49:07
39,Catemaco,18.4167,-95.1167,86.0,70,1,16.11,MX,2021-04-11 19:46:02
40,Champerico,14.3,-91.9167,91.4,62,20,9.22,GT,2021-04-11 19:49:07
41,Upernavik,72.7868,-56.1549,31.46,81,100,13.82,GL,2021-04-11 19:49:08
42,Bluff,-46.6,168.3333,46.99,98,20,1.01,NZ,2021-04-11 19:49:08
43,Ampanihy,-24.7,44.75,71.67,89,18,9.75,MG,2021-04-11 19:49:08
44,Pavlodar,52.3,76.95,28.4,86,0,6.71,KZ,2021-04-11 19:46:00
45,Lagoa,39.05,-27.9833,62.8,83,100,7.4,PT,2021-04-11 19:49:09
46,Racine,42.7495,-88.0751,55.99,66,83,1.68,US,2021-04-11 19:49:09
47,Anadyr,64.75,177.4833,-5.8,77,100,31.32,RU,2021-04-11 19:49:09
48,Sangueya,10.7,-14.3667,77.43,73,76,7.58,GN,2021-04-11 19:49:10
49,Shenkursk,62.1091,42.896,37.08,76,6,9.82,RU,2021-04-11 19:49:10
50,Roald,62.5833,6.1333,39.2,75,20,16.11,NO,2021-04-11 19:49:10
51,Pontalina,-17.525,-49.4472,83.57,45,0,1.25,BR,2021-04-11 19:49:11
52,Carnarvon,-24.8667,113.6333,77.0,94,90,14.97,AU,2021-04-11 19:49:11
53,Ushuaia,-54.8,-68.3,51.8,50,75,17.27,AR,2021-04-11 19:49:12
54,Makakilo City,21.3469,-158.0858,75.2,60,1,6.91,US,2021-04-11 19:49:12
55,French Harbor,16.35,-86.4333,87.01,84,20,13.8,HN,2021-04-11 19:49:12
56,Hovd,48.0056,91.6419,29.44,30,0,5.17,MN,2021-04-11 19:49:12
57,Soyo,-6.1349,12.3689,80.2,80,59,2.91,AO,2021-04-11 19:49:13
58,Hithadhoo,-0.6,73.0833,82.94,73,97,10.74,MV,2021-04-11 19:49:13
59,Necochea,-38.5473,-58.7368,66.99,79,0,8.01,AR,2021-04-11 19:49:13
60,Okhotsk,59.3833,143.3,17.58,81,100,14.56,RU,2021-04-11 19:49:14
61,Port Moresby,-9.4431,147.1797,73.4,100,40,5.75,PG,2021-04-11 19:49:14
62,Klaksvik,62.2266,-6.589,33.8,75,77,3.44,FO,2021-04-11 19:49:14
63,Tezu,27.9167,96.1667,74.12,44,86,5.23,IN,2021-04-11 19:49:15
64,Port Lincoln,-34.7333,135.8667,59.34,62,100,13.27,AU,2021-04-11 19:49:15
65,Chokurdakh,70.6333,147.9167,-16.1,99,64,9.19,RU,2021-04-11 19:49:16
66,Port Alfred,-33.5906,26.891,66.96,91,95,3.56,ZA,2021-04-11 19:49:16
67,Saldanha,-33.0117,17.9442,64.4,77,100,4.61,ZA,2021-04-11 19:49:16
68,Qaanaaq,77.484,-69.3632,22.93,96,100,8.41,GL,2021-04-11 19:49:17
69,Longyearbyen,78.2186,15.6401,19.4,58,40,19.57,SJ,2021-04-11 19:49:17
70,Chuy,-33.6971,-53.4616,65.08,77,89,22.19,UY,2021-04-11 19:49:17
71,Flinders,-34.5833,150.8552,50.0,50,6,13.8,AU,2021-04-11 19:49:18
72,Canutama,-6.5339,-64.3831,84.87,74,76,1.57,BR,2021-04-11 19:49:18
73,Oranjemund,-28.55,16.4333,63.18,75,0,4.09,NA,2021-04-11 19:49:19
74,Korla,41.7597,86.1469,53.71,44,4,21.39,CN,2021-04-11 19:49:19
75,Vanderhoof,54.0166,-124.0198,41.43,39,58,5.86,CA,2021-04-11 19:49:19
76,Tuktoyaktuk,69.4541,-133.0374,-11.2,64,1,5.75,CA,2021-04-11 19:49:20
77,Zyryanka,65.75,150.85,-24.39,100,100,0.89,RU,2021-04-11 19:49:20
78,Touros,-5.1989,-35.4608,86.0,66,40,14.97,BR,2021-04-11 19:49:20
79,Lebu,-37.6167,-73.65,60.4,75,0,14.05,CL,2021-04-11 19:49:21
80,Ribeira Grande,38.5167,-28.7,62.6,94,75,5.75,PT,2021-04-11 19:49:21
81,Kavieng,-2.5744,150.7967,77.16,87,100,3.13,PG,2021-04-11 19:49:21
82,Padang,-0.9492,100.3543,75.2,100,90,3.44,ID,2021-04-11 19:49:22
83,Halifax,44.6453,-63.5724,51.8,40,26,10.36,CA,2021-04-11 19:47:03
84,Wajima,37.4,136.9,47.66,70,16,6.64,JP,2021-04-11 19:49:23
