City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lorengau,PG,2021-04-06 20:21:56,-2.0226,147.2712,81.05,78,85,7.72
1,Mayo,US,2021-04-06 20:21:56,38.8876,-76.5119,71.01,51,1,9.22
2,Ushuaia,AR,2021-04-06 20:21:57,-54.8,-68.3,51.8,62,75,10.36
3,Caravelas,BR,2021-04-06 20:21:57,-17.7125,-39.2481,78.42,65,0,7.16
4,Rikitea,PF,2021-04-06 20:21:57,-23.1203,-134.9692,76.78,72,9,10.11
5,Olinda,BR,2021-04-06 20:21:57,-8.0089,-34.8553,80.6,65,20,11.5
6,Ponta Do Sol,PT,2021-04-06 20:21:58,32.6667,-17.1,61.0,68,18,5.01
7,Vaini,TO,2021-04-06 20:21:58,-21.2,-175.2,77.0,83,75,6.91
8,Kaoma,ZM,2021-04-06 20:21:58,-14.7833,24.8,67.96,62,84,4.34
9,Pirovskoye,RU,2021-04-06 20:21:59,57.6267,92.2658,34.97,85,98,9.53
10,Takaka,NZ,2021-04-06 20:21:59,-40.85,172.8,55.0,89,0,1.99
11,Nouadhibou,MR,2021-04-06 20:21:59,20.931,-17.0347,66.2,77,0,16.11
12,Aksu,CN,2021-04-06 20:22:00,41.1231,80.2644,53.08,39,97,7.2
13,Ishigaki,JP,2021-04-06 20:22:00,24.3448,124.1572,69.01,67,0,22.5
14,Punta Arenas,CL,2021-04-06 20:22:00,-53.15,-70.9167,50.0,81,90,8.05
15,Kangaatsiaq,GL,2021-04-06 20:22:01,68.3065,-53.4641,16.12,78,100,7.34
16,Bredasdorp,ZA,2021-04-06 20:22:01,-34.5322,20.0403,53.6,100,96,3.44
17,Kapaa,US,2021-04-06 20:22:01,22.0752,-159.319,77.0,50,40,21.85
18,Puerto Ayora,EC,2021-04-06 20:22:02,-0.7393,-90.3518,80.6,78,20,11.5
19,Khash,IR,2021-04-06 20:22:02,28.2211,61.2158,59.09,14,0,5.55
20,New Norfolk,AU,2021-04-06 20:22:02,-42.7826,147.0587,52.0,80,71,2.33
21,Rawson,AR,2021-04-06 20:22:03,-43.3002,-65.1023,66.87,85,100,12.53
22,Roald,NO,2021-04-06 20:22:03,62.5833,6.1333,39.2,75,75,14.97
23,Cape Town,ZA,2021-04-06 20:20:57,-33.9258,18.4232,64.99,88,0,9.22
24,Bolu,TR,2021-04-06 20:22:04,40.6667,31.5833,56.34,43,61,14.43
25,Tuktoyaktuk,CA,2021-04-06 20:22:04,69.4541,-133.0374,-9.4,77,40,11.5
26,Flinders,AU,2021-04-06 20:22:04,-34.5833,150.8552,64.99,92,37,1.01
27,Kahului,US,2021-04-06 20:22:05,20.8947,-156.47,75.2,69,40,20.71
28,Gashua,NG,2021-04-06 20:22:05,12.871,11.0482,89.13,12,77,9.75
29,San Patricio,US,2021-04-06 20:22:05,28.017,-97.5169,81.0,69,75,28.77
30,Nanortalik,GL,2021-04-06 20:22:05,60.1432,-45.2371,34.86,97,100,6.24
31,La Union,PE,2021-04-06 20:22:06,-5.4,-80.75,87.44,46,100,8.5
32,Bambous Virieux,MU,2021-04-06 20:22:06,-20.3428,57.7575,77.0,94,40,6.91
33,Itarema,BR,2021-04-06 20:22:06,-2.9248,-39.9167,82.02,74,100,13.67
34,Avarua,CK,2021-04-06 20:22:07,-21.2078,-159.775,82.4,69,75,14.97
35,Isangel,VU,2021-04-06 20:22:07,-19.55,169.2667,76.82,79,78,11.88
36,Matay,EG,2021-04-06 20:22:07,28.419,30.7792,77.68,7,91,5.57
37,Lagoa,PT,2021-04-06 20:22:08,39.05,-27.9833,59.94,84,100,11.72
38,Muzhi,RU,2021-04-06 20:22:08,65.3667,64.6667,9.54,97,28,2.8
39,Agvali,RU,2021-04-06 20:22:08,42.5385,46.1197,47.61,86,16,9.84
40,Airai,TL,2021-04-06 20:22:09,-8.9266,125.4092,59.7,85,74,0.81
41,Hobart,AU,2021-04-06 20:20:54,-42.8794,147.3294,53.6,87,20,4.61
